"('xml',)",[['xml']]
"('start link', 'pads', 'wider', 'training.', 'up.', 'controllable', 'strength', 'require parallel', 'parallel termination', 'bypass', 'alter', 'development', 'completion', 'combination', 'means', 'lvttl i/os', 'controlled.', 'part', 'pice', 'byte', 'removed', 'masters', 'bvref pin', 'terminated.', 'runt', 'require', 'problems.', 'pcie configuration')","[['start link', 'bypass', 'problems.', 'pads'], ['start link', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'training.'], ['start link', 'bypass', 'problems.', 'up.'], ['start link', 'bypass', 'problems.', 'strength'], ['start link', 'bypass', 'problems.', 'removed', 'controlled.', 'require', 'require parallel'], ['start link', 'bypass', 'problems.', 'removed', 'controlled.', 'require', 'parallel termination'], ['start link', 'bypass', 'pcie configuration', 'lvttl i/os', 'alter'], ['start link', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'controllable', 'development'], ['start link', 'bypass', 'problems.', 'removed', 'controlled.', 'completion'], ['start link', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'combination', 'means'], ['start link', 'bypass', 'bvref pin', 'pice'], ['start link', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'byte'], ['start link', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'masters'], ['start link', 'bypass', 'problems.', 'terminated.'], ['start link', 'bypass', 'problems.', 'runt'], ['pads', 'problems.', 'removed', 'controlled.', 'part', 'training.'], ['pads', 'problems.', 'up.'], ['pads', 'problems.', 'strength'], ['pads', 'problems.', 'removed', 'controlled.', 'require', 'require parallel'], ['pads', 'problems.', 'removed', 'controlled.', 'require', 'parallel termination'], ['pads', 'problems.', 'bypass', 'pcie configuration', 'lvttl i/os', 'alter'], ['pads', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'controllable', 'development'], ['pads', 'problems.', 'removed', 'controlled.', 'completion'], ['pads', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'combination', 'means'], ['pads', 'problems.', 'bypass', 'bvref pin', 'pice'], ['pads', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'byte'], ['pads', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'masters'], ['pads', 'problems.', 'terminated.'], ['pads', 'problems.', 'runt'], ['training.', 'part', 'controlled.', 'removed', 'problems.', 'up.'], ['training.', 'part', 'controlled.', 'removed', 'problems.', 'strength'], ['training.', 'part', 'controlled.', 'require', 'require parallel'], ['training.', 'part', 'controlled.', 'require', 'parallel termination'], ['training.', 'part', 'controlled.', 'removed', 'problems.', 'bypass', 'pcie configuration', 'lvttl i/os', 'alter'], ['training.', 'part', 'wider', 'controllable', 'development'], ['training.', 'part', 'controlled.', 'completion'], ['training.', 'part', 'wider', 'combination', 'means'], ['training.', 'part', 'controlled.', 'removed', 'problems.', 'bypass', 'bvref pin', 'pice'], ['training.', 'part', 'wider', 'byte'], ['training.', 'part', 'wider', 'masters'], ['training.', 'part', 'controlled.', 'removed', 'problems.', 'terminated.'], ['training.', 'part', 'controlled.', 'removed', 'problems.', 'runt'], ['up.', 'problems.', 'strength'], ['up.', 'problems.', 'removed', 'controlled.', 'require', 'require parallel'], ['up.', 'problems.', 'removed', 'controlled.', 'require', 'parallel termination'], ['up.', 'problems.', 'bypass', 'pcie configuration', 'lvttl i/os', 'alter'], ['up.', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'controllable', 'development'], ['up.', 'problems.', 'removed', 'controlled.', 'completion'], ['up.', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'combination', 'means'], ['up.', 'problems.', 'bypass', 'bvref pin', 'pice'], ['up.', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'byte'], ['up.', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'masters'], ['up.', 'problems.', 'terminated.'], ['up.', 'problems.', 'runt'], ['strength', 'problems.', 'removed', 'controlled.', 'require', 'require parallel'], ['strength', 'problems.', 'removed', 'controlled.', 'require', 'parallel termination'], ['strength', 'problems.', 'bypass', 'pcie configuration', 'lvttl i/os', 'alter'], ['strength', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'controllable', 'development'], ['strength', 'problems.', 'removed', 'controlled.', 'completion'], ['strength', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'combination', 'means'], ['strength', 'problems.', 'bypass', 'bvref pin', 'pice'], ['strength', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'byte'], ['strength', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'masters'], ['strength', 'problems.', 'terminated.'], ['strength', 'problems.', 'runt'], ['require parallel', 'require', 'parallel termination'], ['require parallel', 'require', 'controlled.', 'removed', 'problems.', 'bypass', 'pcie configuration', 'lvttl i/os', 'alter'], ['require parallel', 'require', 'controlled.', 'part', 'wider', 'controllable', 'development'], ['require parallel', 'require', 'controlled.', 'completion'], ['require parallel', 'require', 'controlled.', 'part', 'wider', 'combination', 'means'], ['require parallel', 'require', 'controlled.', 'removed', 'problems.', 'bypass', 'bvref pin', 'pice'], ['require parallel', 'require', 'controlled.', 'part', 'wider', 'byte'], ['require parallel', 'require', 'controlled.', 'part', 'wider', 'masters'], ['require parallel', 'require', 'controlled.', 'removed', 'problems.', 'terminated.'], ['require parallel', 'require', 'controlled.', 'removed', 'problems.', 'runt'], ['parallel termination', 'require', 'controlled.', 'removed', 'problems.', 'bypass', 'pcie configuration', 'lvttl i/os', 'alter'], ['parallel termination', 'require', 'controlled.', 'part', 'wider', 'controllable', 'development'], ['parallel termination', 'require', 'controlled.', 'completion'], ['parallel termination', 'require', 'controlled.', 'part', 'wider', 'combination', 'means'], ['parallel termination', 'require', 'controlled.', 'removed', 'problems.', 'bypass', 'bvref pin', 'pice'], ['parallel termination', 'require', 'controlled.', 'part', 'wider', 'byte'], ['parallel termination', 'require', 'controlled.', 'part', 'wider', 'masters'], ['parallel termination', 'require', 'controlled.', 'removed', 'problems.', 'terminated.'], ['parallel termination', 'require', 'controlled.', 'removed', 'problems.', 'runt'], ['alter', 'lvttl i/os', 'pcie configuration', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'controllable', 'development'], ['alter', 'lvttl i/os', 'pcie configuration', 'bypass', 'problems.', 'removed', 'controlled.', 'completion'], ['alter', 'lvttl i/os', 'pcie configuration', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'combination', 'means'], ['alter', 'lvttl i/os', 'pcie configuration', 'bypass', 'bvref pin', 'pice'], ['alter', 'lvttl i/os', 'pcie configuration', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'byte'], ['alter', 'lvttl i/os', 'pcie configuration', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'masters'], ['alter', 'lvttl i/os', 'pcie configuration', 'bypass', 'problems.', 'terminated.'], ['alter', 'lvttl i/os', 'pcie configuration', 'bypass', 'problems.', 'runt'], ['development', 'controllable', 'wider', 'part', 'controlled.', 'completion'], ['development', 'controllable', 'wider', 'combination', 'means'], ['development', 'controllable', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'bypass', 'bvref pin', 'pice'], ['development', 'controllable', 'wider', 'byte'], ['development', 'controllable', 'wider', 'masters'], ['development', 'controllable', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'terminated.'], ['development', 'controllable', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'runt'], ['completion', 'controlled.', 'part', 'wider', 'combination', 'means'], ['completion', 'controlled.', 'removed', 'problems.', 'bypass', 'bvref pin', 'pice'], ['completion', 'controlled.', 'part', 'wider', 'byte'], ['completion', 'controlled.', 'part', 'wider', 'masters'], ['completion', 'controlled.', 'removed', 'problems.', 'terminated.'], ['completion', 'controlled.', 'removed', 'problems.', 'runt'], ['means', 'combination', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'bypass', 'bvref pin', 'pice'], ['means', 'combination', 'wider', 'byte'], ['means', 'combination', 'wider', 'masters'], ['means', 'combination', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'terminated.'], ['means', 'combination', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'runt'], ['pice', 'bvref pin', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'byte'], ['pice', 'bvref pin', 'bypass', 'problems.', 'removed', 'controlled.', 'part', 'wider', 'masters'], ['pice', 'bvref pin', 'bypass', 'problems.', 'terminated.'], ['pice', 'bvref pin', 'bypass', 'problems.', 'runt'], ['byte', 'wider', 'masters'], ['byte', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'terminated.'], ['byte', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'runt'], ['masters', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'terminated.'], ['masters', 'wider', 'part', 'controlled.', 'removed', 'problems.', 'runt'], ['terminated.', 'problems.', 'runt']]"
"('load', 'full', 'blocks', '..', 'whether', 'lines', 'note', 'connecting', 'bridged', 'affect')","[['full', 'bridged', 'blocks'], ['full', 'bridged', 'connecting', 'load', '..'], ['full', 'bridged', 'connecting', 'load', 'note', 'lines', 'whether'], ['full', 'bridged', 'connecting', 'load', 'note', 'affect'], ['blocks', 'bridged', 'connecting', 'load', '..'], ['blocks', 'bridged', 'connecting', 'load', 'note', 'lines', 'whether'], ['blocks', 'bridged', 'connecting', 'load', 'note', 'affect'], ['..', 'load', 'note', 'lines', 'whether'], ['..', 'load', 'note', 'affect'], ['whether', 'lines', 'note', 'affect']]"
"('individual', 'clocking', 'package', 'media', 'flotherm package model', '2.7.2', 'connection', 'without', 'wired', 'banks', 'asynchronous', 'sixteen')","[['individual', 'without', 'package'], ['individual', 'without', 'media'], ['individual', 'without', 'flotherm package model'], ['individual', 'without', 'clocking', '2.7.2'], ['individual', 'without', 'connection'], ['individual', 'without', 'wired'], ['individual', 'without', 'banks'], ['individual', 'without', 'asynchronous'], ['individual', 'without', 'sixteen'], ['package', 'without', 'media'], ['package', 'without', 'flotherm package model'], ['package', 'without', 'clocking', '2.7.2'], ['package', 'without', 'connection'], ['package', 'without', 'wired'], ['package', 'without', 'banks'], ['package', 'without', 'asynchronous'], ['package', 'without', 'sixteen'], ['media', 'without', 'flotherm package model'], ['media', 'without', 'clocking', '2.7.2'], ['media', 'without', 'connection'], ['media', 'without', 'wired'], ['media', 'without', 'banks'], ['media', 'without', 'asynchronous'], ['media', 'without', 'sixteen'], ['flotherm package model', 'without', 'clocking', '2.7.2'], ['flotherm package model', 'without', 'connection'], ['flotherm package model', 'without', 'wired'], ['flotherm package model', 'without', 'banks'], ['flotherm package model', 'without', 'asynchronous'], ['flotherm package model', 'without', 'sixteen'], ['2.7.2', 'clocking', 'without', 'connection'], ['2.7.2', 'clocking', 'without', 'wired'], ['2.7.2', 'clocking', 'without', 'banks'], ['2.7.2', 'clocking', 'without', 'asynchronous'], ['2.7.2', 'clocking', 'without', 'sixteen'], ['connection', 'without', 'wired'], ['connection', 'without', 'banks'], ['connection', 'without', 'asynchronous'], ['connection', 'without', 'sixteen'], ['wired', 'without', 'banks'], ['wired', 'without', 'asynchronous'], ['wired', 'without', 'sixteen'], ['banks', 'without', 'asynchronous'], ['banks', 'without', 'sixteen'], ['asynchronous', 'without', 'sixteen']]"
"('bga', 'array', 'execution unit')","[['bga', 'array', 'execution unit']]"
"('efficient', 'dedicated', 'enables', 'operates')","[['dedicated', 'efficient', 'enables'], ['dedicated', 'efficient', 'operates'], ['enables', 'efficient', 'operates']]"
"('function', 'standards', 'signals', 'width', 'range', 'encoded')","[['function', 'range', 'standards'], ['function', 'range', 'signals', 'width'], ['function', 'range', 'encoded'], ['standards', 'range', 'signals', 'width'], ['standards', 'range', 'encoded'], ['width', 'signals', 'range', 'encoded']]"
"('caches.', 'lanes', 'form', 'trace', 'targets.', 'global', 'kit.', 'fpgas', 'aperture', 'performance', 'correct', 'match')","[['caches.', 'trace', 'targets.', 'lanes'], ['caches.', 'trace', 'targets.', 'form'], ['caches.', 'trace', 'correct', 'global'], ['caches.', 'trace', 'targets.', 'match', 'kit.'], ['caches.', 'trace', 'targets.', 'fpgas'], ['caches.', 'trace', 'targets.', 'match', 'aperture'], ['caches.', 'trace', 'targets.', 'performance'], ['lanes', 'targets.', 'form'], ['lanes', 'targets.', 'trace', 'correct', 'global'], ['lanes', 'targets.', 'match', 'kit.'], ['lanes', 'targets.', 'fpgas'], ['lanes', 'targets.', 'match', 'aperture'], ['lanes', 'targets.', 'performance'], ['form', 'targets.', 'trace', 'correct', 'global'], ['form', 'targets.', 'match', 'kit.'], ['form', 'targets.', 'fpgas'], ['form', 'targets.', 'match', 'aperture'], ['form', 'targets.', 'performance'], ['global', 'correct', 'trace', 'targets.', 'match', 'kit.'], ['global', 'correct', 'trace', 'targets.', 'fpgas'], ['global', 'correct', 'trace', 'targets.', 'match', 'aperture'], ['global', 'correct', 'trace', 'targets.', 'performance'], ['kit.', 'match', 'targets.', 'fpgas'], ['kit.', 'match', 'aperture'], ['kit.', 'match', 'targets.', 'performance'], ['fpgas', 'targets.', 'match', 'aperture'], ['fpgas', 'targets.', 'performance'], ['aperture', 'match', 'targets.', 'performance']]"
"('mono', 'device core,', 'hirq_n', 'mono unit', 'mono execution', 'execution', 'brefclk_n')","[['device core,', 'brefclk_n', 'mono execution', 'mono', 'mono unit', 'hirq_n'], ['device core,', 'brefclk_n', 'mono execution', 'mono', 'execution'], ['hirq_n', 'mono unit', 'mono', 'execution']]"
"('3.7',)",[['3.7']]
"('include multiple', 'data.', 'multiple processing', 'pcb', 'connector.', 'pcb trace', 'cannot', 'capacitor', 'consists', 'bandwidth access', 'data', 'parallelism')","[['include multiple', 'data.', 'multiple processing', 'pcb'], ['include multiple', 'data.', 'capacitor', 'data', 'cannot', 'consists'], ['include multiple', 'data.', 'pcb trace', 'connector.', 'bandwidth access'], ['include multiple', 'data.', 'capacitor', 'parallelism'], ['pcb', 'multiple processing', 'data.', 'capacitor', 'data', 'cannot', 'consists'], ['pcb', 'multiple processing', 'data.', 'pcb trace', 'connector.', 'bandwidth access'], ['pcb', 'multiple processing', 'data.', 'capacitor', 'parallelism'], ['consists', 'cannot', 'data', 'capacitor', 'data.', 'pcb trace', 'connector.', 'bandwidth access'], ['consists', 'cannot', 'data', 'capacitor', 'parallelism'], ['bandwidth access', 'connector.', 'pcb trace', 'data.', 'capacitor', 'parallelism']]"
"('glue', 'glue logic')","[['glue', 'glue logic']]"
"('stored', 'enable', 'another')","[['stored', 'another', 'enable']]"
"('scaled', 'made', 'requirements', 'fpga')","[['requirements', 'made', 'scaled', 'fpga']]"
"('vddiomn', 'register', 'odt', 'syspll.', 'jesd8-15a', 'employ on-die', 'device logic', 'pecl', 'birq_')","[['vddiomn', 'register', 'odt'], ['vddiomn', 'register', 'syspll.'], ['vddiomn', 'register', 'jesd8-15a'], ['vddiomn', 'register', 'employ on-die'], ['vddiomn', 'register', 'device logic'], ['vddiomn', 'register', 'pecl'], ['vddiomn', 'register', 'birq_'], ['odt', 'register', 'syspll.'], ['odt', 'register', 'jesd8-15a'], ['odt', 'register', 'employ on-die'], ['odt', 'register', 'device logic'], ['odt', 'register', 'pecl'], ['odt', 'register', 'birq_'], ['syspll.', 'register', 'jesd8-15a'], ['syspll.', 'register', 'employ on-die'], ['syspll.', 'register', 'device logic'], ['syspll.', 'register', 'pecl'], ['syspll.', 'register', 'birq_'], ['jesd8-15a', 'register', 'employ on-die'], ['jesd8-15a', 'register', 'device logic'], ['jesd8-15a', 'register', 'pecl'], ['jesd8-15a', 'register', 'birq_'], ['employ on-die', 'register', 'device logic'], ['employ on-die', 'register', 'pecl'], ['employ on-die', 'register', 'birq_'], ['device logic', 'register', 'pecl'], ['device logic', 'register', 'birq_'], ['pecl', 'register', 'birq_']]"
"('flotherm package', 'reduce power', 'power', 'access control', 'multidrop connection', 'io power', 'package model', 'bus.', 'io', 'multiple processor', 'operate', 'dqs ratio', 'memory width', 'debug adaptor')","[['flotherm package', 'bus.', 'reduce power'], ['flotherm package', 'bus.', 'power'], ['flotherm package', 'bus.', 'access control'], ['flotherm package', 'bus.', 'multidrop connection'], ['flotherm package', 'bus.', 'io power'], ['flotherm package', 'bus.', 'package model'], ['flotherm package', 'bus.', 'io'], ['flotherm package', 'bus.', 'multiple processor'], ['flotherm package', 'bus.', 'operate'], ['flotherm package', 'bus.', 'dqs ratio'], ['flotherm package', 'bus.', 'memory width'], ['flotherm package', 'bus.', 'debug adaptor'], ['reduce power', 'bus.', 'power'], ['reduce power', 'bus.', 'access control'], ['reduce power', 'bus.', 'multidrop connection'], ['reduce power', 'bus.', 'io power'], ['reduce power', 'bus.', 'package model'], ['reduce power', 'bus.', 'io'], ['reduce power', 'bus.', 'multiple processor'], ['reduce power', 'bus.', 'operate'], ['reduce power', 'bus.', 'dqs ratio'], ['reduce power', 'bus.', 'memory width'], ['reduce power', 'bus.', 'debug adaptor'], ['power', 'bus.', 'access control'], ['power', 'bus.', 'multidrop connection'], ['power', 'bus.', 'io power'], ['power', 'bus.', 'package model'], ['power', 'bus.', 'io'], ['power', 'bus.', 'multiple processor'], ['power', 'bus.', 'operate'], ['power', 'bus.', 'dqs ratio'], ['power', 'bus.', 'memory width'], ['power', 'bus.', 'debug adaptor'], ['access control', 'bus.', 'multidrop connection'], ['access control', 'bus.', 'io power'], ['access control', 'bus.', 'package model'], ['access control', 'bus.', 'io'], ['access control', 'bus.', 'multiple processor'], ['access control', 'bus.', 'operate'], ['access control', 'bus.', 'dqs ratio'], ['access control', 'bus.', 'memory width'], ['access control', 'bus.', 'debug adaptor'], ['multidrop connection', 'bus.', 'io power'], ['multidrop connection', 'bus.', 'package model'], ['multidrop connection', 'bus.', 'io'], ['multidrop connection', 'bus.', 'multiple processor'], ['multidrop connection', 'bus.', 'operate'], ['multidrop connection', 'bus.', 'dqs ratio'], ['multidrop connection', 'bus.', 'memory width'], ['multidrop connection', 'bus.', 'debug adaptor'], ['io power', 'bus.', 'package model'], ['io power', 'bus.', 'io'], ['io power', 'bus.', 'multiple processor'], ['io power', 'bus.', 'operate'], ['io power', 'bus.', 'dqs ratio'], ['io power', 'bus.', 'memory width'], ['io power', 'bus.', 'debug adaptor'], ['package model', 'bus.', 'io'], ['package model', 'bus.', 'multiple processor'], ['package model', 'bus.', 'operate'], ['package model', 'bus.', 'dqs ratio'], ['package model', 'bus.', 'memory width'], ['package model', 'bus.', 'debug adaptor'], ['io', 'bus.', 'multiple processor'], ['io', 'bus.', 'operate'], ['io', 'bus.', 'dqs ratio'], ['io', 'bus.', 'memory width'], ['io', 'bus.', 'debug adaptor'], ['multiple processor', 'bus.', 'operate'], ['multiple processor', 'bus.', 'dqs ratio'], ['multiple processor', 'bus.', 'memory width'], ['multiple processor', 'bus.', 'debug adaptor'], ['operate', 'bus.', 'dqs ratio'], ['operate', 'bus.', 'memory width'], ['operate', 'bus.', 'debug adaptor'], ['dqs ratio', 'bus.', 'memory width'], ['dqs ratio', 'bus.', 'debug adaptor'], ['memory width', 'bus.', 'debug adaptor']]"
"('1.1',)",[['1.1']]
"('table10', 'section2.7.4.4')","[['table10', 'section2.7.4.4']]"
"('jtag', 'bavdd', 'vddioc')","[['bavdd', 'jtag', 'vddioc']]"
"('4.6.1',)",[['4.6.1']]
"('implementation', 'around')","[['implementation', 'around']]"
"('2.7',)",[['2.7']]
"('base specification', 'inputs.', 'express base')","[['base specification', 'inputs.', 'express base']]"
"('pci express interface', 'express interface', 'motherboards', '4.2')","[['express interface', 'pci express interface', 'motherboards'], ['express interface', 'pci express interface', '4.2'], ['motherboards', 'pci express interface', '4.2']]"
"('dram', 'table18', 'ecc')","[['dram', 'ecc', 'table18']]"
"('node', 'header', 'skew', 'payload', 'correct ddr2')","[['header', 'node', 'skew'], ['header', 'node', 'correct ddr2', 'payload'], ['skew', 'node', 'correct ddr2', 'payload']]"
"('purpose', 'utility')","[['purpose', 'utility']]"
"('elements.',)",[['elements.']]
"('reset sequences:', 'power-down.', 'pcie subsystem', 'power-up', 'figure2', 'tap controller:', 'alter configuration')","[['reset sequences:', 'pcie subsystem', 'figure2', 'power-down.'], ['reset sequences:', 'pcie subsystem', 'figure2', 'power-up'], ['reset sequences:', 'pcie subsystem', 'tap controller:'], ['reset sequences:', 'pcie subsystem', 'alter configuration'], ['power-down.', 'figure2', 'power-up'], ['power-down.', 'figure2', 'pcie subsystem', 'tap controller:'], ['power-down.', 'figure2', 'pcie subsystem', 'alter configuration'], ['power-up', 'figure2', 'pcie subsystem', 'tap controller:'], ['power-up', 'figure2', 'pcie subsystem', 'alter configuration'], ['tap controller:', 'pcie subsystem', 'alter configuration']]"
"('revision history', 'history', 'revision')","[['history', 'revision history', 'revision']]"
"('ddr2', 'on-chip')","[['ddr2', 'on-chip']]"
"('2.2', 'mn_vref', 'pin', 'lists')","[['2.2', 'lists', 'pin', 'mn_vref']]"
